-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 03/31/2021 
Location: Latitude  -17.3556   Longitude 30.1809 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1140.31 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
PS              MERRA-2 Surface Pressure (kPa) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M            MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
 YEAR  MO  DY  HR   T2M  T2MDEW  T2MWET  QV2M   RH2M  PRECTOTCORR    PS  WS2M   WD2M  WS10M  WD10M
 2021   1   2  23 18.97   18.04   18.50 14.59  94.19         0.02 88.84  2.26  87.62   3.99  87.87
 2021   1   3   0 18.73   17.87   18.30 14.47  94.62         0.02 88.81  2.43  84.11   4.22  84.15
 2021   1   3   1 18.57   17.73   18.15 14.34  94.75         0.02 88.79  2.60  81.36   4.46  81.35
 2021   1   3   2 18.17   17.48   17.83 14.10  95.62         0.03 88.81  2.51  83.74   4.35  83.81
 2021   1   3   3 17.87   17.25   17.55 13.85  96.00         0.03 88.83  2.55  87.37   4.40  87.46
 2021   1   3   4 17.55   17.00   17.28 13.67  96.38         0.03 88.86  2.64  92.72   4.55  92.66
 2021   1   3   5 17.37   16.80   17.08 13.49  96.31         0.02 88.89  2.76  95.68   4.74  95.58
 2021   1   3   6 18.44   17.06   17.75 13.73  91.56         0.02 88.92  3.46  95.44   5.61  95.43
 2021   1   3   7 20.73   17.12   18.92 13.73  79.69         0.01 88.92  4.26  89.79   6.78  89.74
 2021   1   3   8 23.28   16.71   20.00 13.43  66.44         0.01 88.90  4.46  81.94   7.01  81.99
 2021   1   3   9 25.31   16.45   20.88 13.18  57.88         0.01 88.86  4.22  75.76   6.55  75.85
 2021   1   3  10 26.93   16.54   21.73 13.24  52.94         0.01 88.81  3.85  71.05   5.89  71.20
 2021   1   3  11 28.08   16.72   22.40 13.43  50.00         0.01 88.74  3.49  68.72   5.28  68.83
 2021   1   3  12 28.80   16.72   22.76 13.43  48.00         0.02 88.68  3.18  68.67   4.78  68.84
 2021   1   3  13 29.01   16.56   22.79 13.31  46.94         0.03 88.60  2.96  69.75   4.43  69.90
 2021   1   3  14 28.74   16.37   22.55 13.18  47.06         0.05 88.53  2.82  71.26   4.25  71.47
 2021   1   3  15 27.98   16.19   22.08 13.06  48.69         0.06 88.49  2.72  73.13   4.20  73.35
 2021   1   3  16 26.96   16.33   21.65 13.12  52.12         0.06 88.51  2.59  72.82   4.12  73.04
 2021   1   3  17 24.96   17.51   21.23 14.16  63.31         0.06 88.57  2.05  68.04   3.49  68.20
 2021   1   3  18 22.30   18.05   20.17 14.65  76.81         0.06 88.65  1.54  61.23   3.00  61.16
 2021   1   3  19 21.00   17.53   19.26 14.16  80.50         0.03 88.73  1.79  57.49   3.45  57.75
 2021   1   3  20 20.19   17.29   18.74 13.92  83.25         0.01 88.79  2.00  56.81   3.72  56.91
 2021   1   3  21 19.47   17.16   18.32 13.79  86.44         0.01 88.83  2.03  58.20   3.74  58.40
 2021   1   3  22 18.80   17.11   17.95 13.73  89.69         0.01 88.83  1.93  61.46   3.55  61.74
 2021   1   3  23 18.22   17.07   17.64 13.73  92.81         0.02 88.78  1.86  65.38   3.41  65.49
 2021   1   4   0 17.73   17.02   17.37 13.67  95.50         0.02 88.70  1.77  68.76   3.25  68.99
 2021   1   4   1 17.46   16.96   17.21 13.67  96.69         0.02 88.65  1.75  72.37   3.19  72.32
 2021   1   4   2 17.25   16.82   17.04 13.55  97.19         0.01 88.64  1.73  75.65   3.13  75.86
 2021   1   4   3 16.98   16.62   16.80 13.37  97.62         0.01 88.65  1.65  79.38   3.00  79.51
 2021   1   4   4 16.74   16.42   16.58 13.18  97.81         0.01 88.68  1.63  81.99   2.95  82.08
 2021   1   4   5 16.68   16.28   16.48 13.06  97.38         0.01 88.73  1.78  81.91   3.14  81.99
 2021   1   4   6 17.93   16.52   17.23 13.24  91.31         0.01 88.79  2.65  79.45   4.21  79.42
 2021   1   4   7 20.49   16.55   18.52 13.31  78.00         0.04 88.82  2.95  73.24   4.57  73.21
 2021   1   4   8 23.21   16.26   19.73 13.06  64.88         0.07 88.81  2.86  61.75   4.31  61.76
 2021   1   4   9 25.04   16.48   20.76 13.24  58.94         0.08 88.77  2.46  51.82   3.62  51.84
 2021   1   4  10 26.39   16.65   21.52 13.37  55.00         0.05 88.72  2.15  44.12   3.11  43.88
 2021   1   4  11 27.29   16.72   22.01 13.43  52.44         0.05 88.66  1.99  39.57   2.84  39.42
 2021   1   4  12 27.96   16.74   22.35 13.49  50.44         0.06 88.59  1.91  38.18   2.73  38.02
 2021   1   4  13 28.13   16.60   22.37 13.37  49.50         0.09 88.52  1.84  38.96   2.63  38.85
 2021   1   4  14 28.09   16.48   22.29 13.24  49.25         0.14 88.46  1.75  41.38   2.51  41.47
 2021   1   4  15 27.53   16.25   21.89 13.06  50.12         0.16 88.43  1.70  45.93   2.47  46.15
 2021   1   4  16 26.66   16.42   21.54 13.24  53.31         0.14 88.43  1.67  51.84   2.53  52.14
 2021   1   4  17 25.16   17.52   21.34 14.22  62.62         0.12 88.47  1.37  54.77   2.32  54.87
 2021   1   4  18 22.50   18.78   20.64 15.38  79.44         0.11 88.52  0.96  52.94   2.15  52.84
 2021   1   4  19 21.17   18.44   19.80 15.01  84.25         0.12 88.56  0.98  48.56   2.29  48.46
 2021   1   4  20 20.44   18.08   19.26 14.65  86.19         0.08 88.61  1.14  45.00   2.46  45.00
 2021   1   4  21 19.84   17.83   18.83 14.40  88.00         0.04 88.65  1.25  43.23   2.59  43.29
 2021   1   4  22 19.33   17.63   18.48 14.28  89.75         0.02 88.66  1.30  43.06   2.64  43.44
 2021   1   4  23 18.86   17.46   18.15 14.10  91.50         0.02 88.63  1.29  44.26   2.60  44.51
 2021   1   5   0 18.38   17.29   17.83 13.98  93.19         0.04 88.58  1.21  46.83   2.48  47.17
 2021   1   5   1 17.94   17.12   17.52 13.79  94.81         0.05 88.55  1.15  51.65   2.38  52.08
 2021   1   5   2 17.55   16.98   17.26 13.67  96.25         0.05 88.55  1.15  58.37   2.38  58.71
 2021   1   5   3 17.23   16.87   17.05 13.61  97.62         0.03 88.56  1.20  66.11   2.46  66.20
 2021   1   5   4 17.08   16.80   16.94 13.55  98.06         0.02 88.58  1.29  71.35   2.57  71.40
 2021   1   5   5 17.15   16.76   16.95 13.49  97.44         0.02 88.63  1.52  72.40   2.82  72.57
 2021   1   5   6 18.64   17.36   18.00 13.98  92.12         0.00 88.69  2.33  70.66   3.71  70.80
 2021   1   5   7 21.49   17.85   19.67 14.47  79.62         0.00 88.71  2.40  66.02   3.66  66.17
 2021   1   5   8 24.55   17.44   20.99 14.10  64.50         0.00 88.70  2.13  66.25   3.13  66.63
 2021   1   5   9 26.47   17.28   21.87 13.92  57.00         0.02 88.67  1.90  63.65   2.74  64.09
 2021   1   5  10 27.79   17.15   22.47 13.85  52.31         0.04 88.61  1.57  52.67   2.22  52.73
 2021   1   5  11 28.78   17.15   22.97 13.85  49.38         0.09 88.55  1.28  35.82   1.79  35.77
 2021   1   5  12 29.35   17.26   23.30 13.92  48.12         0.15 88.49  1.19  17.24   1.65  17.40
 2021   1   5  13 29.54   17.40   23.47 14.10  48.00         0.19 88.41  1.20 359.26   1.67 359.46
 2021   1   5  14 29.37   17.40   23.39 14.10  48.50         0.23 88.34  1.20 346.42   1.67 346.74
 2021   1   5  15 28.80   17.40   23.11 14.10  50.06         0.25 88.31  1.29 340.58   1.84 340.95
 2021   1   5  16 27.92   17.72   22.82 14.40  53.81         0.21 88.33  1.38 342.90   2.06 343.49
 2021   1   5  17 26.52   18.79   22.65 15.44  62.56         0.18 88.38  1.11 347.43   1.92 348.00
 2021   1   5  18 23.99   20.31   22.15 16.97  79.88         0.16 88.45  0.77 351.87   1.74 352.27
 2021   1   5  19 22.66   20.15   21.40 16.72  85.56         0.11 88.52  0.75 355.24   1.85 355.64
 2021   1   5  20 21.88   19.89   20.88 16.42  88.31         0.07 88.58  0.85   1.05   1.92   0.47
 2021   1   5  21 21.17   19.70   20.44 16.24  91.19         0.03 88.63  0.90   6.45   1.96   5.73
 2021   1   5  22 20.49   19.47   19.98 15.99  93.69         0.03 88.62  0.87  10.30   1.89   9.73
 2021   1   5  23 19.87   19.18   19.52 15.75  95.62         0.02 88.56  0.74  14.04   1.72  13.91
 2021   1   6   0 19.38   18.90   19.14 15.50  96.88         0.02 88.49  0.60  19.86   1.56  20.15
 2021   1   6   1 18.98   18.64   18.81 15.26  97.75         0.02 88.46  0.56  33.02   1.50  33.27
 2021   1   6   2 18.63   18.41   18.52 15.01  98.50         0.00 88.44  0.61  43.96   1.61  44.22
 2021   1   6   3 18.37   18.20   18.28 14.83  98.88         0.00 88.47  0.70  45.00   1.80  45.18
 2021   1   6   4 18.35   18.09   18.23 14.71  98.31         0.00 88.55  0.79  39.37   1.85  39.53
 2021   1   6   5 18.58   18.14   18.37 14.71  97.12         0.00 88.63  0.92  36.67   1.93  36.78
 2021   1   6   6 20.32   18.66   19.49 15.20  90.06         0.01 88.68  1.78  37.87   2.78  37.80
 2021   1   6   7 23.26   18.83   21.04 15.38  76.06         0.02 88.69  1.75  32.41   2.59  32.30
 2021   1   6   8 25.74   18.78   22.26 15.32  65.31         0.02 88.66  1.57  30.13   2.25  30.04
 2021   1   6   9 27.48   18.90   23.19 15.44  59.44         0.01 88.61  1.35  24.64   1.90  24.56
 2021   1   6  10 28.78   18.96   23.87 15.50  55.31         0.01 88.54  1.16  13.20   1.62  13.37
 2021   1   6  11 29.43   18.83   24.13 15.44  52.88         0.02 88.46  0.94   3.34   1.30   3.45
 2021   1   6  12 30.14   18.86   24.50 15.44  50.81         0.03 88.41  0.66 351.87   0.91 352.08
 2021   1   6  13 30.51   18.84   24.68 15.44  49.75         0.05 88.34  0.38 333.43   0.53 334.57
 2021   1   6  14 30.49   18.70   24.59 15.32  49.31         0.05 88.28  0.20 293.50   0.25 295.77
 2021   1   6  15 30.03   18.54   24.28 15.14  50.12         0.04 88.27  0.24 211.61   0.31 209.74
 2021   1   6  16 29.08   19.20   24.15 15.87  55.31         0.07 88.31  0.42 180.00   0.64 177.90
 2021   1   6  17 27.61   19.54   23.58 16.17  61.56         0.09 88.38  0.49 160.41   0.77 159.17
 2021   1   6  18 25.66   21.15   23.40 17.88  76.25         0.12 88.47  0.42 138.01   0.75 136.68
 2021   1   6  19 24.51   21.50   23.01 18.25  83.38         0.18 88.55  0.40 104.86   0.74 105.20
 2021   1   6  20 23.70   20.74   22.23 17.33  83.31         0.27 88.61  0.52  77.85   0.93  76.43
 2021   1   6  21 23.02   20.62   21.82 17.21  86.25         0.46 88.63  0.59  56.94   1.05  56.55
 2021   1   6  22 22.48   20.76   21.62 17.40  89.88         0.78 88.61  0.56  44.43   1.02  44.07
 2021   1   6  23 22.08   20.98   21.53 17.64  93.31         1.06 88.55  0.40  32.12   0.81  31.53
 2021   1   7   0 21.78   20.48   21.13 17.09  92.19         0.98 88.44  0.38   4.67   0.67   4.65
 2021   1   7   1 21.41   20.23   20.83 16.85  92.88         0.81 88.35  0.48 307.06   0.84 306.66
 2021   1   7   2 21.53   20.33   20.94 16.97  92.81         0.78 88.40  0.11 351.87   0.18 352.57
 2021   1   7   3 21.38   20.30   20.84 16.91  93.44         0.95 88.42  0.25  41.19   0.46  38.81
 2021   1   7   4 21.22   20.12   20.67 16.72  93.31         1.08 88.47  0.18  37.87   0.24  42.40
 2021   1   7   5 21.06   20.25   20.65 16.85  95.00         0.75 88.53  0.23  49.18   0.37  52.65
 2021   1   7   6 21.41   20.69   21.05 17.27  95.50         0.34 88.57  0.37  62.35   0.69  59.93
 2021   1   7   7 22.33   20.87   21.60 17.52  91.38         0.31 88.61  0.95  42.66   1.51  41.02
 2021   1   7   8 23.37   20.84   22.11 17.46  85.56         0.40 88.63  1.49  27.10   2.33  26.22
 2021   1   7   9 24.37   20.58   22.48 17.15  79.38         0.47 88.62  1.66  16.13   2.53  15.41
 2021   1   7  10 25.73   20.31   23.02 16.91  71.94         0.53 88.59  1.57   7.44   2.29   6.66
 2021   1   7  11 26.73   19.87   23.30 16.42  66.06         0.36 88.54  1.37   5.91   1.96   5.26
 2021   1   7  12 27.47   19.68   23.58 16.30  62.44         0.12 88.48  1.17   9.59   1.65   9.24
 2021   1   7  13 27.51   19.40   23.45 15.99  61.25         0.03 88.42  0.93  28.73   1.31  28.56
 2021   1   7  14 27.35   19.30   23.32 15.87  61.38         0.01 88.37  0.54  39.70   0.75  38.19
 2021   1   7  15 26.84   19.25   23.05 15.87  63.06         0.01 88.34  0.24 291.45   0.36 292.71
 2021   1   7  16 26.11   19.49   22.80 16.11  66.88         0.00 88.36  0.58 257.64   0.85 258.90
 2021   1   7  17 25.52   20.23   22.88 16.91  72.69         0.00 88.41  0.53 245.70   0.83 245.60
 2021   1   7  18 24.36   20.37   22.36 17.09  78.75         0.00 88.45  0.44 241.14   0.73 240.71
 2021   1   7  19 23.30   20.48   21.89 17.09  84.00         0.02 88.47  0.46 263.23   0.88 261.87
 2021   1   7  20 22.56   20.24   21.40 16.85  86.62         0.04 88.50  0.49 266.31   0.94 266.19
 2021   1   7  21 21.95   20.58   21.26 17.15  91.81         0.04 88.58  0.48 206.15   1.09 207.66
 2021   1   7  22 21.47   20.32   20.89 16.91  93.06         0.04 88.60  0.75 181.79   1.47 183.04
 2021   1   7  23 21.08   20.22   20.65 16.78  94.62         0.02 88.54  0.69 160.13   1.37 161.05
 2021   1   8   0 20.72   20.09   20.40 16.66  96.06         0.10 88.44  0.63 127.44   1.39 128.16
 2021   1   8   1 20.44   19.91   20.18 16.54  96.69         0.16 88.39  0.62 122.69   1.48 122.52
 2021   1   8   2 20.39   19.91   20.15 16.48  96.94         0.12 88.39  0.77 143.25   1.67 142.81
 2021   1   8   3 20.48   19.89   20.19 16.48  96.25         0.09 88.43  1.37 147.58   2.56 147.48
 2021   1   8   4 20.33   19.75   20.05 16.30  96.25         0.05 88.46  1.37 141.70   2.53 141.64
 2021   1   8   5 20.09   19.62   19.86 16.17  96.88         0.04 88.49  0.89 130.38   1.78 130.74
 2021   1   8   6 20.69   19.77   20.23 16.36  94.31         0.03 88.55  1.53 129.21   2.59 129.50
 2021   1   8   7 21.37   19.83   20.61 16.42  90.81         0.02 88.56  2.12 130.81   3.35 130.93
 2021   1   8   8 23.11   19.69   21.40 16.24  81.00         0.00 88.56  2.01 113.08   3.04 113.14
 2021   1   8   9 24.63   19.37   22.00 15.93  72.50         0.00 88.54  1.62  78.04   2.39  77.74
 2021   1   8  10 25.58   19.45   22.51 15.99  68.81         0.01 88.51  1.44  46.76   2.10  45.90
 2021   1   8  11 26.12   19.61   22.87 16.17  67.25         0.03 88.46  1.18  23.00   1.72  21.80
 2021   1   8  12 26.30   19.73   23.01 16.30  67.12         0.05 88.42  1.05 356.16   1.54 355.33
 2021   1   8  13 26.27   19.81   23.04 16.42  67.50         0.05 88.37  1.10 334.34   1.62 334.30
 2021   1   8  14 26.10   19.94   23.02 16.54  68.75         0.05 88.34  1.12 319.53   1.66 319.57
 2021   1   8  15 25.87   20.06   22.96 16.66  70.25         0.05 88.31  1.05 311.39   1.59 311.61
 2021   1   8  16 25.53   20.54   23.04 17.21  73.81         0.04 88.32  0.88 305.66   1.39 305.39
 2021   1   8  17 24.79   20.72   22.75 17.40  78.06         0.02 88.36  0.72 294.34   1.26 294.18
 2021   1   8  18 23.01   21.05   22.03 17.70  88.50         0.01 88.39  0.57 286.70   1.41 286.73
 2021   1   8  19 21.85   20.34   21.10 16.97  91.06         0.02 88.38  0.69 284.51   1.83 284.33
 2021   1   8  20 21.26   19.99   20.62 16.60  92.31         0.06 88.41  0.71 273.14   1.83 273.18
 2021   1   8  21 21.31   19.87   20.59 16.42  91.25         0.03 88.53  0.62 230.10   1.35 230.87
 2021   1   8  22 21.12   19.74   20.43 16.30  91.75         0.02 88.54  0.61 215.11   1.25 215.58
 2021   1   8  23 20.55   19.73   20.14 16.30  94.88         0.02 88.48  0.54 221.50   1.39 220.43
 2021   1   9   0 20.24   19.61   19.92 16.17  95.94         0.03 88.42  0.53 205.43   1.38 204.82
 2021   1   9   1 19.98   19.42   19.70 15.99  96.50         0.04 88.38  0.53 192.80   1.37 192.14
 2021   1   9   2 19.64   19.14   19.39 15.75  96.75         0.05 88.37  0.52 183.42   1.34 183.35
 2021   1   9   3 19.46   18.94   19.20 15.50  96.62         0.10 88.39  0.56 171.98   1.25 172.83
 2021   1   9   4 19.25   18.78   19.01 15.38  97.00         0.15 88.43  0.59 158.91   1.26 160.44
 2021   1   9   5 19.05   18.72   18.88 15.32  97.81         0.16 88.48  0.57 147.41   1.35 147.78
 2021   1   9   6 20.69   19.69   20.19 16.24  93.88         0.18 88.50  1.13 138.63   1.83 138.81
 2021   1   9   7 22.94   20.05   21.49 16.66  83.69         0.25 88.49  1.59 139.98   2.40 139.88
 2021   1   9   8 24.94   19.90   22.41 16.48  73.50         0.35 88.48  1.79 145.13   2.67 145.15
 2021   1   9   9 26.05   19.84   22.94 16.42  68.62         0.46 88.45  1.80 151.55   2.65 151.70
 2021   1   9  10 26.46   19.74   23.10 16.36  66.50         0.58 88.40  1.73 157.48   2.55 157.51
 2021   1   9  11 26.80   19.78   23.29 16.36  65.38         0.61 88.34  1.65 164.58   2.41 164.57
 2021   1   9  12 26.91   19.75   23.33 16.36  64.81         0.59 88.30  1.50 172.21   2.18 171.75
 2021   1   9  13 26.90   19.69   23.30 16.30  64.56         0.59 88.28  1.17 180.00   1.68 179.73
 2021   1   9  14 26.68   19.60   23.14 16.24  65.06         0.61 88.27  0.74 195.20   1.04 194.77
 2021   1   9  15 26.63   19.83   23.23 16.48  66.25         0.65 88.25  0.54 230.30   0.74 230.12
 2021   1   9  16 26.31   20.05   23.19 16.72  68.62         0.68 88.26  0.54 258.37   0.82 259.01
 2021   1   9  17 25.32   19.99   22.65 16.66  72.50         0.70 88.29  0.64 272.79   1.02 273.06
 2021   1   9  18 23.63   20.61   22.12 17.27  83.19         0.75 88.33  0.61 282.61   1.24 282.37
 2021   1   9  19 22.42   20.26   21.33 16.91  87.50         0.67 88.35  0.71 285.86   1.65 285.68
 2021   1   9  20 21.45   20.11   20.78 16.72  91.94         0.74 88.35  0.73 280.47   1.85 279.74
 2021   1   9  21 20.70   19.74   20.23 16.36  94.12         0.71 88.30  0.95 270.95   2.12 270.42
 2021   1   9  22 20.19   19.55   19.87 16.17  96.00         0.68 88.24  1.11 264.33   2.26 263.66
 2021   1   9  23 19.53   19.30   19.41 15.93  98.50         0.79 88.30  0.64 250.91   1.55 250.29
 2021   1  10   0 19.49   19.32   19.40 15.93  98.81         0.67 88.30  0.54 249.73   1.36 249.48
 2021   1  10   1 19.32   19.24   19.28 15.87  99.38         0.27 88.25  0.64 250.68   1.52 250.45
 2021   1  10   2 19.23   19.16   19.20 15.81  99.38         0.08 88.24  0.70 247.14   1.60 247.57
 2021   1  10   3 19.13   19.06   19.09 15.69  99.38         0.04 88.25  0.76 238.93   1.69 239.99
 2021   1  10   4 18.90   18.86   18.88 15.44  99.56         0.02 88.29  0.63 230.01   1.52 230.42
 2021   1  10   5 19.08   18.78   18.93 15.38  98.06         0.00 88.40  0.44 224.27   0.92 224.66
 2021   1  10   6 20.73   19.80   20.26 16.36  94.31         0.01 88.48  0.48 227.66   0.77 228.70
 2021   1  10   7 23.01   19.65   21.33 16.24  81.31         0.04 88.49  0.98 238.09   1.42 238.06
 2021   1  10   8 24.19   18.37   21.28 14.95  69.88         0.05 88.48  0.45 272.01   0.61 271.47
 2021   1  10   9 25.21   18.12   21.67 14.77  64.81         0.07 88.47  0.55 351.87   0.75 352.80
 2021   1  10  10 25.74   17.96   21.85 14.59  62.12         0.10 88.43  0.81 351.71   1.11 351.93
 2021   1  10  11 25.84   17.86   21.85 14.53  61.38         0.14 88.37  0.98 342.29   1.36 341.98
 2021   1  10  12 26.09   17.96   22.02 14.65  60.81         0.16 88.30  1.18 331.91   1.68 331.41
 2021   1  10  13 26.60   18.12   22.36 14.77  59.62         0.16 88.23  1.25 325.21   1.78 324.84
 2021   1  10  14 26.74   18.25   22.50 14.89  59.62         0.19 88.18  1.20 315.26   1.70 315.00
 2021   1  10  15 26.48   18.40   22.44 15.08  61.19         0.23 88.16  1.06 300.17   1.49 299.78
 2021   1  10  16 25.73   18.61   22.17 15.26  64.75         0.30 88.18  0.91 279.87   1.32 279.52
 2021   1  10  17 24.87   19.63   22.25 16.30  72.69         0.35 88.22  0.72 261.25   1.18 260.48
 2021   1  10  18 23.22   20.12   21.67 16.78  82.75         0.38 88.28  0.57 247.32   1.14 246.08
 2021   1  10  19 22.20   19.84   21.02 16.48  86.38         0.42 88.33  0.58 241.02   1.26 240.26
